31301*2^200586-1 is not prime.  LLR Res64: 3BD279F75955390F  Time : 38.772 sec.
32377*2^200589-1 is not prime.  LLR Res64: DD48E476AD3CC876  Time : 38.748 sec.
24133*2^200591-1 is not prime.  LLR Res64: 7E9BA76C107EFDEF  Time : 38.776 sec.
22927*2^200593-1 is not prime.  LLR Res64: 2E738EED3DE0F067  Time : 38.699 sec.
27913*2^200595-1 is not prime.  LLR Res64: DB6442EB2F9557A5  Time : 38.885 sec.
23111*2^200598-1 is not prime.  LLR Res64: DA0239E76DF90650  Time : 38.759 sec.
32383*2^200599-1 is not prime.  LLR Res64: 87251ED23A235581  Time : 38.738 sec.
18869*2^200600-1 is not prime.  LLR Res64: 404EC645604E9373  Time : 38.794 sec.
27899*2^200600-1 is not prime.  LLR Res64: 7B238388116A992C  Time : 38.816 sec.
32887*2^200605-1 is not prime.  LLR Res64: CDA454EC6D8AC229  Time : 38.727 sec.
20143*2^200607-1 is not prime.  LLR Res64: 342E8FCF863FC86C  Time : 38.741 sec.
22453*2^200607-1 is not prime.  LLR Res64: A5D14462546F9567  Time : 38.867 sec.
31109*2^200608-1 is not prime.  LLR Res64: D84F124B4B7D83BE  Time : 38.792 sec.
19507*2^200609-1 is not prime.  LLR Res64: E86199E03C850F94  Time : 38.760 sec.
20017*2^200609-1 is not prime.  LLR Res64: ECC7E89ABCDE7C86  Time : 38.784 sec.
22537*2^200609-1 is not prime.  LLR Res64: 4F0674D762FC4646  Time : 38.821 sec.
17021*2^200610-1 is not prime.  LLR Res64: F8AC2D807D249856  Time : 38.808 sec.
33419*2^200612-1 is not prime.  LLR Res64: 200924D0DB657DCB  Time : 38.765 sec.
22649*2^200616-1 is not prime.  LLR Res64: 0AAFC4E7ACBD87AB  Time : 38.769 sec.
20533*2^200619-1 is not prime.  LLR Res64: AAE80338202E6CCC  Time : 38.819 sec.
33373*2^200619-1 is not prime.  LLR Res64: 7E62163FA154D3C7  Time : 38.782 sec.
15043*2^200623-1 is not prime.  LLR Res64: 230AD9C286E41014  Time : 38.773 sec.
15373*2^200623-1 is not prime.  LLR Res64: 02DB23D7F3517FB0  Time : 38.930 sec.
23173*2^200627-1 is not prime.  LLR Res64: EA806D843EA17A49  Time : 38.856 sec.
20651*2^200630-1 is not prime.  LLR Res64: BC99A4AE87466CB4  Time : 38.774 sec.
31453*2^200631-1 is not prime.  LLR Res64: 9AE893C183EBA917  Time : 38.816 sec.
21643*2^200635-1 is not prime.  LLR Res64: 88B3ACEBB0D39270  Time : 38.885 sec.
18727*2^200637-1 is not prime.  LLR Res64: E3B3AB5D20E3112B  Time : 38.955 sec.
15373*2^200639-1 is not prime.  LLR Res64: 7483D48278A027B1  Time : 38.839 sec.
28109*2^200640-1 is not prime.  LLR Res64: 7A666C1F8BE12709  Time : 38.865 sec.
