17295*2^40073-1 is not prime.  LLR Res64: 44DC5CD5BCBA2B99  Time : 1.457 sec.
21885*2^40073-1 is not prime.  LLR Res64: 4AD65D171EA19F64  Time : 1.469 sec.
15645*2^40074-1 is not prime.  LLR Res64: AC5416863F6D104F  Time : 1.465 sec.
16485*2^40074-1 is not prime.  LLR Res64: 916692424AABD249  Time : 1.459 sec.
20145*2^40074-1 is not prime.  LLR Res64: D22AD4B430F6F398  Time : 1.467 sec.
21525*2^40075-1 is not prime.  LLR Res64: 4B72F33D205D8B58  Time : 1.475 sec.
28635*2^40075-1 is not prime.  LLR Res64: B4DAF202DCAD28DD  Time : 1.475 sec.
22785*2^40076-1 is not prime.  LLR Res64: 16D9A267AC102252  Time : 1.466 sec.
28665*2^40076-1 is not prime.  LLR Res64: C97A082D9CFD45AE  Time : 1.476 sec.
21525*2^40077-1 is not prime.  LLR Res64: 435C7B04E0D27BF3  Time : 1.472 sec.
21825*2^40077-1 is not prime.  LLR Res64: F8DB7DE2DB3FA60C  Time : 1.474 sec.
27615*2^40077-1 is not prime.  LLR Res64: 46E990E035614928  Time : 1.474 sec.
21825*2^40078-1 is not prime.  LLR Res64: 58ECE4E3C1E7A1D4  Time : 1.479 sec.
21885*2^40078-1 is not prime.  LLR Res64: 4ABA28DBFB828B0A  Time : 1.471 sec.
25077*2^40078-1 is not prime.  LLR Res64: EDC6C7820BC4AF25  Time : 1.475 sec.
28605*2^40078-1 is not prime.  LLR Res64: 35344648F2273E25  Time : 1.476 sec.
29925*2^40078-1 is not prime.  LLR Res64: 20E388114BCF3F09  Time : 1.457 sec.
20145*2^40079-1 is not prime.  LLR Res64: 893164AB810B5906  Time : 1.467 sec.
23295*2^40079-1 is not prime.  LLR Res64: 619650182EB4AF8F  Time : 1.473 sec.
26829*2^40079-1 is not prime.  LLR Res64: A9FAC0CA13DBDFBF  Time : 1.455 sec.
29685*2^40079-1 is not prime.  LLR Res64: 07F39B3EE522A01D  Time : 1.460 sec.
15645*2^40080-1 is not prime.  LLR Res64: 2B770C313A91A6B6  Time : 1.473 sec.
20145*2^40080-1 is not prime.  LLR Res64: A6BA977D8F7B0F86  Time : 1.476 sec.
20625*2^40080-1 is not prime.  LLR Res64: 9F4E4157BD0DD2F4  Time : 1.473 sec.
